OBJECTID,point,X,Y
949,1,114.1425183,30.39525395
950,1,114.1425176,30.39525325
951,1,114.1425169,30.39525255
952,1,114.1425161,30.39525185
953,1,114.1425154,30.39525115
954,1,114.1425147,30.39525045
955,1,114.142514,30.39524975
956,1,114.1425133,30.39524906
957,1,114.1425126,30.39524836
958,1,114.1425118,30.39524766
959,1,114.1425111,30.39524696
960,1,114.1425104,30.39524626
961,1,114.1425097,30.39524556
962,1,114.142509,30.39524487
963,1,114.1425083,30.39524417
964,1,114.1425075,30.39524347
965,1,114.1425068,30.39524277
966,1,114.1425061,30.39524207
967,1,114.1425054,30.39524137
968,1,114.1425047,30.39524067
969,1,114.142504,30.39523998
970,1,114.1425033,30.39523928
971,1,114.1425025,30.39523858
972,1,114.1425018,30.39523788
973,1,114.1425011,30.39523718
974,1,114.1425004,30.39523648
975,1,114.1424997,30.39523579
976,1,114.142499,30.39523509
977,1,114.1424982,30.39523439
978,1,114.1424975,30.39523369
979,1,114.1424968,30.39523299
980,1,114.1424961,30.39523229
981,1,114.1424954,30.3952316
982,1,114.1424947,30.3952309
983,1,114.142494,30.3952302
984,1,114.1424932,30.3952295
985,1,114.1424925,30.3952288
986,1,114.1424918,30.3952281
987,1,114.1424911,30.3952274
988,1,114.1424904,30.39522671
989,1,114.1424897,30.39522601
990,1,114.1424889,30.39522531
991,1,114.1424882,30.39522461
992,1,114.1424875,30.39522391
993,1,114.1424868,30.39522321
994,1,114.1424861,30.39522252
995,1,114.1424854,30.39522182
996,1,114.1424846,30.39522112
997,1,114.1424839,30.39522042
998,1,114.1424832,30.39521972
999,1,114.1424825,30.39521902
1000,1,114.1424818,30.39521832
1001,1,114.1424811,30.39521763
1002,1,114.1424804,30.39521693
1003,1,114.1424796,30.39521623
1004,1,114.1424789,30.39521553
1005,1,114.1424782,30.39521483
1006,1,114.1424775,30.39521413
1007,1,114.1424768,30.39521344
1008,1,114.1424761,30.39521274
1009,1,114.1424753,30.39521204
1010,1,114.1424746,30.39521134
1011,1,114.1424739,30.39521064
1012,1,114.1424732,30.39520994
1013,1,114.1424725,30.39520925
1014,1,114.1424718,30.39520855
1015,1,114.1424711,30.39520785
1016,1,114.1424703,30.39520715
1017,1,114.1424696,30.39520645
1018,1,114.1424689,30.39520575
1019,1,114.1424682,30.39520505
1020,1,114.1424675,30.39520436
1021,1,114.1424668,30.39520366
1022,1,114.142466,30.39520296
1023,1,114.1424653,30.39520226
1024,1,114.1424646,30.39520156
1025,1,114.1424639,30.39520086
1026,1,114.1424632,30.39520017
1027,1,114.1424625,30.39519947
1028,1,114.1424617,30.39519877
1029,1,114.142461,30.39519807
1030,1,114.1424603,30.39519737
1031,1,114.1424596,30.39519667
1032,1,114.1424589,30.39519597
1033,1,114.1424582,30.39519528
1034,1,114.1424575,30.39519458
1035,1,114.1424567,30.39519388
1036,1,114.142456,30.39519318
1037,1,114.1424553,30.39519248
1038,1,114.1424546,30.39519178
1039,1,114.1424539,30.39519109
1040,1,114.1424532,30.39519039
1041,1,114.1424524,30.39518969
1042,1,114.1424517,30.39518899
1043,1,114.142451,30.39518829
1044,1,114.1424503,30.39518759
1045,1,114.1424496,30.3951869
1046,1,114.1424489,30.3951862
1047,1,114.1424481,30.3951855
1048,1,114.1424474,30.3951848
1049,1,114.1424467,30.3951841
1050,1,114.142446,30.3951834
1051,1,114.1424453,30.3951827
1052,1,114.1424446,30.39518201
1053,1,114.1424439,30.39518131
1054,1,114.1424431,30.39518061
1055,1,114.1424424,30.39517991
1056,1,114.1424417,30.39517921
1057,1,114.142441,30.39517851
1058,1,114.1424403,30.39517782
1059,1,114.1424396,30.39517712
1060,1,114.1424388,30.39517642
1061,1,114.1424381,30.39517572
1062,1,114.1424374,30.39517502
1063,1,114.1424367,30.39517432
1064,1,114.142436,30.39517362
1065,1,114.1424353,30.39517293
1066,1,114.1424346,30.39517223
1067,1,114.1424338,30.39517153
1068,1,114.1424331,30.39517083
1069,1,114.1424324,30.39517013
1070,1,114.1424317,30.39516943
1071,1,114.142431,30.39516874
1072,1,114.1424303,30.39516804
1073,1,114.1424295,30.39516734
1074,1,114.1424288,30.39516664
1075,1,114.1424281,30.39516594
1076,1,114.1424274,30.39516524
1077,1,114.1424267,30.39516455
1078,1,114.142426,30.39516385
1079,1,114.1424252,30.39516315
1080,1,114.1424245,30.39516245
1081,1,114.1424238,30.39516175
1082,1,114.1424231,30.39516105
1083,1,114.1424224,30.39516035
1084,1,114.1424217,30.39515966
1085,1,114.142421,30.39515896
1086,1,114.1424202,30.39515826
1087,1,114.1424195,30.39515756
1088,1,114.1424188,30.39515686
1089,1,114.1424181,30.39515616
1090,1,114.1424174,30.39515547
1091,1,114.1424167,30.39515477
